単語,意味
defend,を防御する；を弁護する
embrace,を受け入れる；（を）抱擁する；を包含する
modify,を修正する；を緩和する
qualify,（人）に資格を与える；資格がある
passion,情熱；熱中；激怒
enthusiasm,（～への）熱情，熱意（for）
phase,段階，局面；側面
mode,方式；気分；形態；流行
span,期間；範囲
gravity,重力，引力；重量；重大さ
orbit,軌道；（活動・勢力などの）範囲
asteroid,小惑星；ヒトデ
core,核心；芯
soul,精神；魂，霊魂；生気
nerve,神経；〔～s〕神経過敏；（…する）度胸（to do）
infection,感染（症）
mall,【主に米】 モール，ショッピングセンター
grocery,〔～ies〕食料雑貨；食料雑貨店
humor,ユーモア；気分，機嫌；気質
instinct,本能；勘，直感；（自然に起こる）衝動
faith,（～への）信頼（in）；信仰（心）
courage,勇気
incentive,動機（づけ）；報奨金
prospect,見込み；〔～s〕（未来への）展望；有望な人
obstacle,（～に対する）障害（物）（to）
architecture,建築；建築様式；構造
stem,（草木の）茎，幹
illusion,錯覚，思い違い；幻想
discrimination,（～に対する）差別（against）；区別
shame,恥；残念なこと
drought,干ばつ；（慢性的な）不足
flavor,風味；特色
portion,部分；1人前；割り当て
recipe,調理法，レシピ；手順；秘訣
luxury,ぜいたく（品）；〔形容詞的に〕豪華な
chip,小片，破片；欠けた箇所；集積回路
ritual,儀式；（日常の）習慣的行為
sake,〔for the ～ ofで〕のために，の目的で；に免じて
prefecture,（日本の）県，府；（フランスなどの）県
council,（地方）議会；評議会；（公の）会議
administration,管理（部）；行政；政府（機関）
curriculum,教育課程，カリキュラム
precious,貴重な；高価な
generous,寛大な；気前のよい；豊富な
casual,何気ない；形式ばらない
optimistic,楽観的な
rough,粗い；大まかな；乱暴な
unpleasant,不愉快な；不親切な，無礼な
Arctic,北極の
ultimate,究極の
deaf,耳が聞こえない
genuine,本物の；偽りのない
manual,体［手］を使う；手の；手動式の
mechanical,機械の；機械的な
instant,即時の，すぐの；即席の
spare,余分の，予備の
immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）
harsh,厳しい；（光・色・味などが）不快な
collective,集団の，共同の
inevitable,避けられない
profound,重大な；深い；難解な
steady,着実な，一定の；安定した
mature,成熟した；熟した
likewise,同様に
chase,（を）追跡する；（を）追求する
sue,を告訴する；（～を求めて）訴訟を起こす（for）
gaze,じっと見る
slip,滑る；滑り落ちる；そっと動く
load,に積む；に負わせる
overwhelm,を圧倒する；を（精神的に）打ちのめす
wander,歩き回る；それる；はぐれる
float,漂う，浮かぶ；を浮かべる
pour,を注ぐ；激しく降る；押し寄せる
substitute,を代わりに使う；（～の）代理をする（for）
pronounce,を発音する；を宣言する
shrink,縮む，縮小する；減少する；ひるむ
restore,を回復させる；を修復する
trigger,を引き起こす；のきっかけとなる
grab,をつかむ；を横取りする；を急いで食べる
retain,を保持する；を覚えている
reproduce,を複製する；を繁殖させる；繁殖する
bob,上下に動く；急に動く；を上下に動かす
entertain,を楽しませる；をもてなす
interfere,干渉する，介入する；邪魔する
cultivate,を養う；を耕す；を栽培する
underlie,の根底にある
anticipate,を予期する；楽しみに待つ
justify,を正当化する
regulate,を規制する；を調整する
scan,を走査［スキャン］する；をざっと見る；を注意深く調べる
classify,を分類する；を機密扱いにする
submit,を提出する；〔submit oneselfで〕（～に）従う（to）
pause,（一時的に）中止する；（一瞬）立ち止まる
lean,傾く；寄りかかる；をもたせかける
bump,ぶつかる；をぶつける
fold,を折り畳む；（両腕）を組む；（折り）畳める
hesitate,躊躇する，ためらう
pump,（液体・気体）をポンプで送り込む；をくみ出す；を注ぎ込む
mount,を据えつける；に着手する；（自転車など）に乗る；増える
exceed,を超える；に勝る
undergo,を経験する；（手術など）を受ける；に耐える
confront,に立ち向かう；（困難などが）に立ちはだかる
consult,（に）相談する；を参照する
fulfill,を実現させる；を果たす；を満たす
privilege,特権，特典
formation,形成；構成（物）；隊列
dimension,側面，局面；次元；寸法
neuron,ニューロン，神経単位
sensation,感覚；大評判
chart,図，グラフ；海図；ヒットチャート
geography,〔the ～〕地理；地理学
panel,（専門家の）一団；討論者一同；羽目板
semester,【主に米】（2学期制の）学期
workforce,労働人口，総労働力；全従業員（数）
mill,製造工場；製粉所；粉ひき機
abuse,乱用；虐待
vice,（道徳上の）悪；欠点
fate,運命；結末；最期
tragedy,悲劇（的な事態）
scenario,（予想される）筋書き，事態；脚本
allergy,アレルギー
wound,（銃弾・刃物などによる）傷；痛手
antibiotic,〔通例～s〕抗生物質
vaccine,ワクチン
metaphor,隠喩；比喩
folk,人々；〔～s〕皆さん；〔one’s ～s〕家族
fare,（乗り物の）料金
transition,移り変わり；過渡期
maximum,最大限
galaxy,星雲，銀河；〔the G～〕銀河系
mineral,鉱物；ミネラル
skeleton,骨格；骨組み；概略
counterpart,相当する物［人］
stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃
pedestrian,歩行者
trail,（野山などの）小道；跡；手がかり
ecology,生態学；生態系；環境保護
sibling,きょうだい（の1人）
ratio,比率
mixture,混合（物）
charm,魅力；お守り
ambition,（～に対する）願望，野望（for）；野心
prominent,卓越した；目立つ
radical,急進的な；根本的な
prompt,即座の，迅速な
informal,形式ばらない，略式の；（言葉が）くだけた
mutual,相互の；共通の
neutral,中立の；（特徴・表情などが）はっきりしない
alert,警戒して；敏速な
magnetic,磁気の；磁石の；人を引きつける
polar,極地の；電極の
fluent,流ちょうな
external,外部の；対外的な
passive,受動的な；消極的な
awful,ひどい；嫌な；ものすごい
unrelated,無関係の；血縁関係がない
cruel,残酷な；むごい
fake,偽の；見せかけだけの
vulnerable,（攻撃などに）弱い，もろい；傷つきやすい
urgent,緊急の
spiritual,精神の；霊的な
modest,謙虚な；適度な；質素な
keen,熱心な；鋭敏な；（感情・関心などが）強い
nonetheless,それにもかかわらず，それでもなお
negotiate,交渉する；を（交渉して）取り決める
grasp,を把握［理解］する；をしっかり握る
donate,を寄付する；（臓器・血液）を提供する
arrest,を逮捕する；を止める；（注意）を引く
crack,ひびが入る；にひびを入れる
tap,を軽くたたく；（液体）を出す；を盗聴する
split,を分割する；を分担する；分裂する
forecast,を予想［予測］する
exclude,を除外する
overlook,を見落とす；を大目に見る；を見渡す
burst,破裂する；（～を）突然始める（into）
heal,（人・傷など）を治す；治る
forbid,を禁じる
install,をインストールする；を設置する；を就任させる
diminish,を減らす；減少する
cite,を引き合いに出す；を引用する
quote,を引用する；を引き合いに出す
dispute,に異議を唱える；（を）議論する
highlight,を目立たせる；強調する
distract,（注意など）をそらす
cheat,をだます；不正をする
foster,をはぐくむ；を養育する；を心に抱く
obey,に従う；に服従する
bend,を曲げる；を屈服させる；曲がる
deprive,から（権利などを）奪う
govern,（を）統治する；支配する
log,〔log onで〕ログオンする；を記録する
transmit,を伝える；（電波・信号など）を送る
bully,をいじめる；を脅す
leap,跳ぶ；さっと動く；急上昇する
astonish,を驚かす
thrill,をぞくぞくさせる；わくわくする
nod,うなずく；会釈する；うとうとする
bow,おじぎする；屈服する
blend,を混ぜる；を調和させる；（～に）溶け込む（into）
complicate,を複雑にする
pitch,を投げる；倒れる；縦揺れする
persist,続く；固執する
dedicate,をささげる；を献呈する
equip,に備えつける
premise,前提；〔～s〕（建物を含めた）構内；敷地
input,入力（情報）；投入；（情報・時間などの）提供
merit,利点；功績；真価
sympathy,同情；（～に対する）共感（with/for）
compliment,賛辞；表敬
infrastructure,インフラ；基本的施設；（経済）基盤
ray,光線；ひらめき；一筋の光明
distress,苦悩；苦痛；困窮
joint,関節；接合（部）
expedition,遠征（隊）；探検（隊）
adolescent,青年；青年期の
shade,（日）陰；色合い；日よけ；微妙な相違
jury,陪審（員団）；審査員団
ethic,倫理；道徳；〔～s〕倫理［道徳］規範
penalty,（刑）罰；罰金；ペナルティー
faculty,能力；機能；学部；教授陣
scheme,計画；体系；陰謀
nutrition,栄養（の摂取）
particle,（微）粒子；ほんのわずか
molecule,分子；微粒子
nationality,国籍；国民；国民性
poll,世論調査；投票（数）
clinic,診療所；クリニック；（病院内の）～科
dementia,認知症
fatigue,疲労
dilemma,ジレンマ；板ばさみ
queue,【英】（順番を待つ）列
curve,（道路などの）カーブ；曲線
narrative,物語；話；（小説の）叙述部分；地の文
fingerprint,指紋
file,ファイル；（書類の）とじ込み
wilderness,荒野；（庭・町などの）放置された部分
pesticide,殺虫剤；除草剤
panic,パニック（状態）；狼狽
fabric,織物；布（地）；構造
fantasy,空想；幻想；幻想的作品
fancy,（気まぐれな）好み；空想；思いつき
virtue,美徳；長所；効能
grateful,感謝している
valid,妥当な；有効な
elaborate,入念な；凝った
moderate,適度な；穏健な
dynamic,活動的な；精力的な；動的な
brave,勇敢な；見事な
brilliant,すばらしい；才能にあふれた；きらめく
tremendous,途方もない；莫大な；すばらしい
oral,口頭の
innocent,無罪の；無邪気な；無知の
subsequent,その後の
shallow,浅い；浅薄な
indifferent,無関心な
inferior,より劣った
awkward,気まずい；ぎこちない；厄介な
obese,肥満した
pregnant,妊娠した；（～で）満ちている（with）
intimate,親密な；密接な
medieval,中世の；時代遅れの
sacred,神聖な；宗教的な；厳粛な
simultaneously,（～と）同時に（with）；一斉に
versus,〔A ～ Bで〕A対B；AかBか
proceed,進む，進行する；（～を）続行する（with）
orient,（人）を（環境などに）慣らす（to）；〔受身形で〕（関心などが）（～に）向いている（to / toward）
surf,（インターネット上の情報など）を見て回る；サーフィンをする
filter,をろ過する；を取り除く
bind,を縛る；を束縛する；を結び付ける
resort,（好ましくない手段に）訴える，頼る（to）
reinforce,を強化する；を補強する
accumulate,を蓄積する，集める；積もる
bet,と確信する，断言する；（金などを）かける
advocate,を主張する；を擁護する
constitute,を構成する；になる，に等しい
undertake,を引き受ける；を保証する；に着手する
grip,を握る；をとらえる
dismiss,（意見など）を退ける；を解雇する
fade,薄れる；衰える
conceal,を隠す；を秘密にする
chew,（を）かむ；をかみ砕く
swallow,（を）飲み込む；をうのみにする；に耐える
seal,を密閉する；に封をする
migrate,移住する；（鳥などが）渡る
exaggerate,（を）誇張する；を強調する
accuse,を非難する；を告訴する
vanish,消える
polish,を磨く；を洗練させる
wipe,を拭く；を拭き取る；を消し去る
sweep,（を）掃く；を一掃する；さっと通過する
mislead,を誤解させる，欺く；（人）を間違った方向に導く
spoil,を台無しにする；を甘やかす；だめになる
compound,を悪化させる；を合成する；を混合する
explode,爆発する；急増する；を論破する
disgust,をむかつかせる；に愛想を尽かせる
commute,通勤［通学］する
decorate,を装飾する
postpone,を延期する
cease,をやめる；終わる
compromise,妥協する；を危うくする
elect,を選出する
extract,を取り［搾り］出す；を抜粋する
inherit,を受け継ぐ；を相続する
rear,（人・動物・植物）を育てる
empathy,感情移入，共感
cue,合図；手がかり；（次の演技の）キュー
enterprise,企業，事業；企画；進取の気性
output,生産（高）；出力；排出（量）
congress,（米国などの）議会；会議
millennium,千年間，千年紀
mankind,人類
Muslim,イスラム教徒
estate,（動産・不動産などの）財産；私有地
landmine,地雷
caution,用心；警告
controversy,論争
consensus,総意；（意見の）一致
retail,小売り
fiber,繊維（質）；本質；精神力
scent,（よい）香り；香水
beverage,（水以外の）飲み物，飲料
supplement,栄養補助剤，サプリメント；補足
diabetes,糖尿病
province,州，省；〔the ～s〕地方；分野
reef,（岩や砂の）礁；暗礁
microbe,微生物；細菌
excess,過剰，超過
gallery,美術館，画廊；観客，ギャラリー；回廊
fame,名声
deadline,締め切り
undergraduate,学部学生
slavery,奴隷制度；苦役
prey,獲物；犠牲者
mess,散らかった状態［物］；混乱状態
recession,不況；後退
retreat,後退，退却；（計画・決定などの）撤回
grave,墓；〔通例the ～〕死
column,コラム；（新聞などの）欄；円柱；（縦）列
scenery,〔集合的に〕景色；背景
plot,（小説などの）筋；陰謀
sculpture,彫刻（作品）
tablet,タブレット（型情報端末）；錠剤；平板
dense,密集した，密度の高い；（霧などが）濃い
exotic,外来の；異国風の
acid,酸性の；酸っぱい；辛辣な
bitter,苦い，つらい；辛辣な；怒りっぽい
sensible,分別のある；賢明な；実用的な
noble,高貴な；堂々とした；高潔な
vague,漠然とした，あいまいな；おぼろげな
parallel,（～と）平行［並行］の（to）；類似した
tense,張り詰めた，緊張した
vertical,垂直の；縦方向の
indigenous,原産の，先住の；（その土地に）固有の
aboriginal,〔通例A～〕アボリジニの；原生の，先住の
seasonal,季節の，季節的な
abundant,豊富な；（～に）富む（in）
hybrid,ハイブリッドの；雑種の；混成の
irrelevant,（～にとって）無関係の（to）；見当違いの
ridiculous,ばかげた；法外な
fairy,妖精の（ような）
sensory,感覚の
chronic,慢性の；長引く；常習の
voluntary,自発的な；無償の
inclined,傾向がある；傾いた
infer,を推論する，推測する
esteem,を尊敬する；を見なす
tackle,に取り組む；と（～のことで）話をつける（about / on）
venture,危険を冒して進む；を思い切ってする
accelerate,を加速させる，促進する；加速する
accustom,（人）を慣れさせる
amuse,をおもしろがらせる，楽しませる
flourish,繁栄する；繁茂する；を振りかざす
thrive,繁栄する，うまくいく；繁茂する
nurture,をはぐくむ；を養成する
click,（を）クリックする；をカチッと鳴らす；カチッと音がする
spin,回転する；を回転させる；（糸）を紡ぐ
clip,を切り抜く；を（はさみで）切り取る；をクリップで留める
drag,を引きずる；ぐずぐずする
cast,を投じる；に役を当てる
scatter,をまき散らす；分散する
tempt,を（…する）気にさせる（to do）；を引きつける
withdraw,を引き出す；を撤回する；撤退する
yawn,あくびをする
blink,まばたきする；点滅する；（目）をまたたく
dye,を染める；染まる
spill,をこぼす；こぼれる
irritate,をいらいらさせる；をひりひりさせる
insult,を侮辱する
enforce,を施行［実施］する；を（～に）強制する（on / upon）
rob,から（金品を）奪う
drain,（液体）を流出させる；（液体が）流れ出る
suspend,を停職［停学，出場停止］にする；を一時的に中断する
drift,漂う；さまよう；を押し流す
forgive,を許す；を免除する
revise,を修正する；を改訂する
recruit,を募る；に新人を補充する
twist,をねじる，ひねる；を歪曲する
crush,を押しつぶす；を弾圧する；を絞り出す
pin,をピンで留める；を突き刺す
uncover,を暴く；を発掘する
exploit,を活用する；を搾取する，につけ込む
implement,を実行［実施］する
integrate,を統合する；融合する
incorporate,を取り入れる；を法人にする；合併する
profile,人物の紹介；横顔；輪郭
appetite,食欲；欲求
impulse,衝動；刺激
script,台本；筆跡
anniversary,（～周年）記念日
pension,年金
temper,気質，気性；機嫌；かんしゃく
cortex,皮質；樹皮
syndrome,症候群；～現象
chamber,（特定の目的の）部屋；議場；〔the ～〕議院
utility,公共事業；公共料金；実用性
cattle,〔集合的に〕牛
herd,（牛などの）群れ；群衆
fluid,流動体，液体
pity,残念なこと；哀れみ
priest,聖職者
acquaintance,知人；面識；知識
offspring,子孫，子；成果
famine,飢饉；（食糧・物資の）ひどい不足
deforestation,森林伐採
jail,刑務所，拘置所
commodity,商品；有用なもの
format,書式，形式；（本などの）型
recipient,受け取る人；（臓器などの）被提供者
drill,訓練；（反復）練習；ドリル，錐
inability,無能，無力
republic,共和国；共和制
combat,戦闘；対立
debris,（破壊された後の）残骸，瓦礫；がらくた
bug,病原菌（が起こす病気）；虫；盗聴器；（機械・プログラムの）欠陥
fraction,わずか，一部；分数
index,指標；索引；指数
intuition,直観（力），直感
motive,動機
consent,同意，承諾
hierarchy,（社会の）階層制；〔the ～〕支配層
monument,記念碑，遺跡；金字塔
asset,〔通例～s〕資産；価値のあるもの；利点
decent,まずまずの；きちんとした；上品な
competent,有能な；適任の；満足できる
straightforward,単純な；率直な
cosmetic,化粧の，美容の；うわべの
delicate,繊細な；扱いにくい；もろい
interior,室内の；内部の
transparent,透明な；明快な
aesthetic,美的な；美学の
deliberate,故意の；慎重な
demographic,人口統計学の
prehistoric,有史以前の；旧式な
innate,生まれながらの；固有の
mild,穏やかな；（程度が）軽い
toxic,有毒な；中毒性の
ashamed,恥じて
humble,謙虚な；質素な；身分が低い
peculiar,特有の；特異な
steep,（傾斜が）急な；急激な；法外な
trivial,ささいな，取るに足りない
magnificent,壮大な；見事な
wireless,無線（電信）の，ラジオの
ongoing,継続している，進行中の
assure,に自信を持って言う；を保証する
precede,に先行する；に優先する
revive,を復活させる；復活する
compel,に強いる
blossom,花が咲く；発展する
terrify,を怖がらせる；を脅かす
violate,（法律・規則など）に違反する；を侵害する
suppress,を抑える；を抑圧する
deceive,をだます
manipulate,を（巧みに）操る；を改ざんする
starve,飢える；（～を）渇望する（for）；を飢えさせる
flee,（から）逃げる
whisper,（を）ささやく
yell,叫ぶ，どなる
deposit,を置く；を預ける；を堆積させる
confine,を限定する；〔通例受身形で〕閉じ込められる
swing,を揺らす，振る；揺れる；（行動に）さっと移る
prolong,を長引かせる
depict,を描く
outline,の要点を述べる；の輪郭を描く
shed,を捨て去る；（光など）を放つ；（涙・血）を流す
emit,（光・熱など）を出す，排出する；（信号）を送る
renew,を更新する；（資源）を再生する
utilize,を利用する
assert,を主張する
strain,に負担をかける；を緊張させる；を漉す
strive,努力する；争う
dare,あえて［思い切って］…する
boast,を誇る；（を）自慢する
startle,をびっくりさせる
offend,の気分を害する；（に）違反する
compute,（を）計算する；コンピューターを使う
assemble,を集める；を組み立てる；集まる
worsen,を悪化させる；悪化する
flip,を（ぱっと）裏返す；を軽くはじく
rub,（を）こする；（～に）を塗る（on / over）
descend,（を）降りる；受け継がれる
compensate,補償する；に償う
comprise,から成る；を構成する
prevail,普及している；支配的である；（～に）打ち勝つ（over）
quest,探究
dignity,尊厳；威厳
criterion,（判断・評価の）基準
paradox,逆説；矛盾
parliament,（英国などの）議会；国会議員（団）
legislation,法律；立法
agenda,協議事項（リスト）；議事日程（表）；（政治上の）課題
mainstream,（活動・思潮などの）主流；大勢
troop,〔～s〕軍隊；集団
epidemic,流行（病）；蔓延
outbreak,発生，勃発
chaos,混沌，大混乱
nightmare,悪夢（のような状況）；不安感
horror,恐怖；強い嫌悪；嫌な物［人］
cluster,集団；（植物の）房，束
pollen,花粉
hive,ミツバチの巣（箱）；人の集まる所
irrigation,灌漑
dose,（薬の1回分の）服用量；放射線の1回の照射量
suicide,自殺；自殺的行為
feast,祝宴；大ごちそう；楽しみ
cuisine,（独特の）料理，料理法
rumor,うわさ
proverb,ことわざ
signature,署名；特徴
formula,方法，解決策；公式
tuition,【主に米】 授業料；（個人）指導
intake,摂取量；受け入れ数；取り入れること
spectrum,スペクトル；（波動・変動の）範囲
kidney,腎臓
gear,用具（一式），器具；歯車；ギア
aisle,（座席間などの）通路
grief,深い悲しみ
destiny,運命
skull,頭骨，頭蓋骨；頭脳
tomb,墓
monk,修道士，僧
worship,崇拝，礼拝（式）；賛美
outstanding,際立った；未払いの；未解決の
unprecedented,前例のない；空前の
infinite,無限の；無数の
worthwhile,価値がある；立派な
indispensable,不可欠な
compulsory,義務的な，強制的な
probable,十分にありそうな
ambiguous,あいまいな；多義的な
obscure,（世に）知られていない；不明瞭な
skeptical,（～に）懐疑的な
fragile,壊れやすい；虚弱な
static,静的な；動きのない
gradual,徐々の，緩やかな
vocal,声の，発声の；はっきりものを言う
vivid,鮮やかな；生き生きとした
imperial,帝国の；皇帝の
hostile,敵意のある
superficial,表面的な
scarce,乏しい；珍しい
gross,総計の；甚だしい；粗野な
inherent,生来の，本来的に備わっている
notable,注目に値する；著名な
update,を最新のものにする；をアップデートする
refresh,（気分）をさわやかにする；（記憶など）を新たにする；を最新のものにする
bloom,花が咲く；栄える
conquer,を征服する；を克服する
induce,を引き起こす；を説得する
attain,を獲得する，達成する；に達する
spray,を吹きかける，に吹きつける
retrieve,（情報）を検索する；を取り戻す；を回復する
portray,を描く；（の役）を演じる
scratch,を引っかく；を取り消す，削除する
designate,を指定する；を任命する
contradict,と矛盾する；に反対意見を言う
sigh,ため息をつく
disrupt,を混乱させる；を分裂させる
depart,出発する；（～から）それる（from）
navigate,（を）誘導する；（を）操縦する；（を）航行する
beg,に（～を）切に頼む（for）；（を）懇願する
inhabit,に住んでいる；に宿る，存する
diagnose,（を）診断する
comprehend,を理解する
oblige,に義務づける；に恩恵を施す
cram,に詰め込む；詰め込み勉強をする
flock,群がる，集まる
underestimate,（を）過小評価する；（を）軽く見る；を少なく見積もる
clarify,を明確にする
spark,を引き起こす；を刺激する；スパークする
seize,をつかむ；を奪い取る；を没収する
soar,急上昇する；空高く飛ぶ
glow,光り［照り］輝く；赤く燃える；紅潮する
disguise,を（～に）変装させる（as）；を偽る
distort,を歪める；歪む
undermine,を徐々にむしばむ；を侵食する
abolish,を廃止する
strip,を［から］取り去る；を裸にする
dispose,〔dispose ofで〕を処分する；を（…する）気にさせる（to do）；を配置する
dump,を投棄する；をどさっと落とす
weave,を織る；（計画・物語など）を作り上げる
refine,を洗練する；を精製する
enrich,を豊かにする；（物質）を濃縮化する
coordinate,を調整する；を組織する；（服など）をコーディネートする
headline,（新聞などの）見出し
internship,【米】 実務［医学］研修；研修期間
outlet,直売店，特売店；はけ口；【米】（電気の）コンセント
remedy,治療（法）；治療薬；解決法
pill,錠剤，丸薬；〔the ～〕ピル，経口避妊薬
reception,反応；宴会；受付；受信（状態）
transaction,（商）取引；（人と人との）交流
mutation,突然変異（体）；変化
dairy,〔集合的に〕乳製品；乳製品加工所［販売者］
compassion,同情
posture,姿勢；心構え
curse,悪態，ののしりの言葉；呪い；〔通例a ～〕災い
funeral,葬式
census,国勢調査；交通調査
encyclopedia,百科事典
cereal,〔通例～s〕穀物；シリアル（穀物加工食品）
fragment,断片
patch,（～の）部分，斑点；継ぎ；貼り薬
rubbish,【英】 ごみ；つまらないもの
maze,迷路；複雑に込み入ったもの
outlook,見解；見通し；眺め
breakthrough,大発見，飛躍的進歩
triumph,勝利；勝利の喜び；偉業
ally,同盟国；提携者；援助者；盟友
spectator,（試合などの）観客
sphere,領域；球体；天体
county,【米】 郡；【英】州
behalf,利益，味方
interval,（時間の）間隔；合間；隔たり；小休止
circulation,循環；流通；（新聞・雑誌の）発行部数
blade,刃；（プロペラなどの）羽根；（草などの）葉
theft,窃盗（罪）
vacuum,真空；空虚
collision,衝突；対立
bargain,買い得品；取引；契約
landmark,（ある場所の）目印；画期的な出来事
revenue,歳入；収益
treaty,（国家間の）条約；協定
supreme,最高の
thorough,徹底的な；まったくの
naked,裸の
sincere,心からの；誠実な
tame,飼いならされた，人に慣れた；退屈な
insufficient,不十分な；不適当な
dim,薄暗い；ぼんやりした
acute,（痛み・感情などが）激しい；（知覚などが）鋭い；急性の
disabled,障害のある；障害者用の
metropolitan,大都市の，首都圏の
monetary,金銭的な；金融の
alternate,代わりの；交互の
partial,部分的な；不公平な
divine,神の；神にささげる
drastic,徹底的な，抜本的な；極端な
fierce,猛烈な；どう猛な
sole,唯一の；単独の；独占的な
spontaneous,自然発生的な；自発的な
spatial,空間の
neat,きちんとした；見事な
tidy,きちんとした，整頓された；相当の
loyal,（～に）忠実な（to）；誠実な
bless,に恩恵を与える；に感謝する
regain,取り戻す
conform,順応する；一致する
enroll,登録する，入会する；を登録させる
entitle,に権利を与える；に題名をつける
halt,を止める；止まる
provoke,（感情・行動など）を引き起こす；を挑発する
invade,を侵略する；を侵害する；（場所）に殺到する
squeeze,押し入る；を押し込む；（を）搾る；（を）強く押す
crawl,はう；ゆっくり進む
digest,を消化する；を理解する；を要約する
utter,（声）を発する；（考えなど）を述べる
refrain,控える
populate,に住む，の住民である；に人を住まわせる
accommodate,を収容する；を（～に）適応させる（to）
steer,（を）操縦する；を（～へ）向ける（to）
drown,溺死する；を水浸しにする
dip,を浸す；（手など）を（～に）突っ込む（into / in）；下がる
soak,を浸す；をずぶぬれにする；浸る
stir,をかき回す；を揺り動かす
transplant,を移植する；を移住させる
reassure,を安心させる
resume,（を）再開する；を取り戻す
speculate,（と）推測する；投機する
surpass,を上回る
appoint,を任命する；（日時・場所など）を指定する
intrigue,に興味を持たせる；陰謀を企てる
decay,腐敗する；（徐々に）衰える
contaminate,を汚染する；を堕落させる
swell,膨張する，腫れる；を膨らませる
delete,を削除する，消す
tolerate,を許容する，我慢する
envy,をうらやむ
pray,（を）祈る
confess,（を）告白する
resign,（を）辞任する；を放棄する
dissolve,（を）溶かす；（議会など）を解散する；（契約など）を解消する；溶ける
unfold,（閉じたもの）を開く；を明らかにする；開く；明らかになる
awaken,を目覚めさせる；（～から）覚める（from）
conceive,（を）思いつく；と想像する；（を）妊娠する
entrepreneur,起業家，事業家
stake,利害関係；〔通例～s〕賭け金；杭
surplus,余剰，過剰；黒字
inflation,インフレ（ーション）；（物価の）高騰
sweatshop,搾取工場
clash,衝突；対立；かち合うこと；ガチャンという音
sociology,社会学
ideology,イデオロギー，思想傾向
margin,余白；差；利ざや
realm,領域；領土
domain,分野；領域；ドメイン
algorithm,アルゴリズム；問題解決の手順
prairie,大草原
frontier,〔通例the ～s〕最先端；〔the ～〕 【米】辺境地；国境
bullet,銃弾
shield,盾，防御物
despair,絶望
radiation,放射能，放射線
placebo,偽薬，プラシーボ；気休め
nursery,託児所；苗床
spouse,配偶者
makeup,化粧；化粧品；構成；性質
mummy,ミイラ；【英】ママ，お母さん
flesh,（人・動物の）肉；果肉
limb,手足
odor,におい；気配
laundry,洗濯（物）；クリーニング店
tide,潮（の干満）；動向
questionnaire,アンケート
nonsense,ばかげた物［話，考え］；無意味な言葉
revenge,復讐
intellect,知性；〔the ～（s）〕知識人
hospitality,親切なもてなし，歓待；受容性
librarian,司書，図書館員
manuscript,（手書きの）原稿；写本
obsession,（考えなどに）取りつかれること；妄想；強迫観念
hygiene,衛生（状態）；健康法
paradigm,典型；枠組み；パラダイム
legitimate,合法的な；妥当な
authentic,本物の；信頼できる
empirical,経験的な；経験主義の
immense,膨大な
absurd,ばかげた；不合理な
weird,異様な，奇妙な
accidental,偶然の；過失による
uneasy,不安な；落ち着かない；ぎこちない
jealous,嫉妬深い；用心深い
feminine,女らしい
swift,素早い
hollow,空洞の；空虚な；うわべだけの
crude,大まかな；粗野な；未精製の
sore,痛い；腹を立てている
pessimistic,悲観的な
vain,無駄な；うぬぼれた
susceptible,（～の）影響を受けやすい（to）；感染しやすい
edible,食用の，食べられる
sheer,純然たる，真の；すごい；（布が）薄地の
explicit,明白な；率直な
prone,（～に）なりやすい（to）；（…する）傾向がある（to do）
affluent,裕福な；豊富な
collaborate,共同して働く；（～に）協力する（with）
exert,を及ぼす；（力など）を行使する
excel,（～で）秀でている（in / at）；に勝る
prosper,栄える，成功する；繁殖する
surge,殺到する；（感情が）こみ上げる；急騰する
intervene,（～に）介入する（in）；介在する
insert,を挿入する
overtake,を追い抜く；に追いつく；（災難・強い感情などが）を襲う
snap,をパチンと鳴らす；をポキッと折る；ポキッと折れる；パチンと音を立てる
carve,を彫る；を切り開く；（肉）を切り分ける
addict,〔受身形で〕（～の）中毒になる（to）；（～に）凝る
condemn,を非難する；〔受身形で〕（～の刑を）宣告される（to）
convict,に有罪を宣告する
dictate,を指図する；を書き取らせる；を規定する
prescribe,（薬など）を処方する；を規定する
inhibit,を抑制する；を妨げる
stray,はぐれる，（道に）迷う
roam,（を）歩き回る；放浪する
enclose,を同封する；を取り囲む
execute,を実行する；を処刑する
coincide,同時に起こる；一致する
lag,遅れる；徐々に弱まる
cling,しがみつく；くっつく
erase,を消す
grind,（穀物など）をひく
knit,を編む；を結合する；編み物をする
inquire,（を）尋ねる
betray,をうっかり表す；を裏切る
leak,漏れる；を漏らす
smash,を粉砕する；を強打する；粉々に壊れる；激突する
bounce,跳ねる；反射する；を弾ませる；（Ｅメールが）（宛先不明で）返送される
sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす
converse,（～と）会話をする（with）
recite,を暗唱する；を詳述する
disregard,を無視する；を軽視する
frown,眉をひそめる
evoke,を呼び起こす
pledge,を誓う，約束する；を与えることを約束する
aspire,（～を）熱望する（to）
contemplate,（を）熟考する；を予想する
grace,優美，優雅；分別；（神の）恩寵
enlightenment,啓蒙，啓発
commerce,商業；貿易
